!XYDATA  NAC Nacalf NaCaAlF 11mm 14/14 open 10' 1 VacuumVessel 
!INTER  1 1 0 0 
!TEMP  123.800003 124.000000 1.000000
! d20 25-Nov-08 14:08:06 User Brunel   L.C.Hansen  Run 645226*d20_2008_11_6394
! d20 25-Nov-08 14:08:06 User Brunel   L.C.Hansen  Run 645226*d20_2008_11_6394
! Monitor/counts, Counting time/sec:  246531.000000 30.000000
  63.4743         43820.207     208.516
  63.5743         49317.910     219.963
  63.6743         52877.855     227.932
  63.7743         52496.348     228.116
  63.8743         49442.801     220.777
  63.9743         42341.438     204.445
  64.0743         33000.129     180.897
  64.1743         23385.922     152.491
  64.2743         14788.303     121.588
  64.3743          9011.814      95.455
  64.4743          6149.003      79.616
  64.5743          5112.510      72.799
  64.6743          4770.491      68.986
  64.7743          4815.525      69.026
  64.8743          4675.520      67.761
  64.9743          4528.992      67.039
  65.0743          4668.457      67.609
  65.1743          4593.080      67.226
  65.2743          4775.303      68.725
  65.3743          4736.765      68.016
  65.4743          4618.492      67.005
  65.5743          4816.690      69.135
  65.6743          4725.297      67.795
  65.7743          4839.447      68.778
  65.8743          4856.932      68.804
  65.9743          4943.941      69.918
  66.0743          4982.937      69.537
  66.1743          5190.073      71.284
  66.2743          5442.379      72.903
  66.3743          6804.434      81.632
  66.4743         11666.875     106.557
  66.5743         21524.475     144.779
  66.6743         36485.793     190.120
  66.7743         56531.262     234.312
  66.8743         76832.273     273.466
  66.9743         94445.766     305.282
  67.0743        106624.367     323.641
  67.1743        113422.703     332.732
  67.2743        114985.922     337.112
  67.3743        110054.500     328.720
  67.4743         96266.242     308.403
  67.5743         77343.211     277.714
  67.6743         56476.609     237.462
  67.7743         36304.090     196.762
  67.8743         20889.701     142.463
  67.9743         10680.721      97.865
  68.0743          6479.492      97.771
  68.1743          5772.689      71.596
  68.2743          5297.301      79.259
  68.3743          5134.804      82.371
  68.4743          5260.027      73.684
  68.5743          5096.550      65.260
  68.6743          5137.130      70.411
  68.7743          5180.775      71.010
  68.8743          4990.204      70.028
  68.9743          5072.041      70.229
  69.0743          4909.271      69.735
  69.1743          4782.166      68.478
  69.2743          4884.627      69.121
  69.3743          4698.948      67.951
  69.4743          4826.281      69.138
  69.5743          4779.028      68.475
  69.6743          4725.618      68.173
  69.7743          4651.148      67.536
  69.8743          4791.542      69.153
  69.9743          5144.206      70.815
  70.0743          5444.934      73.413
  70.1743          5676.884      75.074
  70.2743          6036.833      77.427
  70.3743          6324.387      78.858
  70.4743          6482.026      80.332
  70.5743          6582.665      80.667
  70.6743          6492.159      80.712
  70.7743          6599.567      81.315
  70.8743          6479.786      82.055
  70.9743          6190.843      79.957
  71.0743          5698.622      75.427
  71.1743          5369.518      72.821
  71.2743          5007.164      70.321
  71.3743          4803.707      68.800
  71.4743          4739.138      67.980
  71.5743          4511.629      66.477
  71.6743          4558.266      67.012
  71.7743          4566.510      66.581
  71.8743          4597.806      67.073
  71.9743          4635.163      67.190
  72.0743          4649.835      67.474
  72.1743          4702.031      67.720
  72.2743          4827.870      68.441
  72.3743          4878.973      69.340
  72.4743          4683.034      67.127
  72.5743          4842.228      68.845
  72.6743          4897.540      69.193
  72.7743          5065.770      70.542
  72.8743          5210.992      70.782
  72.9743          5639.198      74.348
  73.0743          7669.498      86.502
  73.1743         12535.343     110.582
  73.2743         20653.402     141.601
  73.3743         31932.525     177.209
  73.4743         45726.094     212.203
  73.5743         59560.699     240.996
  73.6743         71762.500     266.085
  73.7743         81615.656     283.739
